title,link,year,month
"Maharashtra has most new AIDS cases in India","http://timesofindia.indiatimes.com//city/mumbai/Maharashtra-has-most-new-AIDS-cases-in-India/articleshow/5785847.cms",2010,4
"Gutka ban aids in keeping beach premises clean","http://timesofindia.indiatimes.com//city/mangaluru/Gutka-ban-aids-in-keeping-beach-premises-clean/articleshow/5833037.cms",2010,4
"Yet another step to combat AIDS","http://timesofindia.indiatimes.com//city/allahabad/Yet-another-step-to-combat-AIDS/articleshow/5878344.cms",2010,5
"Gul Panag at World AIDS Orphans Day","http://timesofindia.indiatimes.com//entertainment/events/mumbai/Gul-Panag-at-World-AIDS-Orphans-Day/articleshow/5912633.cms",2010,5
"Gul Panag at World AIDS Orphans Day","http://timesofindia.indiatimes.com//entertainment/events/mumbai/Gul-Panag-at-World-AIDS-Orphans-Day/articleshow/5912633.cms",2010,5
"NACO to set up centre for HIV patients in city","http://timesofindia.indiatimes.com//city/ludhiana/NACO-to-set-up-centre-for-HIV-patients-in-city/articleshow/5935490.cms",2010,5
"'Doctors to face heat if AIDS patient ignored'","http://timesofindia.indiatimes.com//city/kanpur/Doctors-to-face-heat-if-AIDS-patient-ignored/articleshow/5982362.cms",2010,5
"New drug delivery systems to combat HIV","http://timesofindia.indiatimes.com//india/New-drug-delivery-systems-to-combat-HIV/articleshow/5996503.cms",2010,6
"Minister targeting HIV shelter: NGO","http://timesofindia.indiatimes.com//city/delhi/Minister-targeting-HIV-shelter-NGO/articleshow/6022059.cms",2010,6
"From birth control ring, a novel idea to fight AIDS spread","http://timesofindia.indiatimes.com//home/science/From-birth-control-ring-a-novel-idea-to-fight-AIDS-spread/articleshow/6029963.cms",2010,6
"Militants use HIV to fight UK troops in Afghanistan","http://timesofindia.indiatimes.com//world/uk/Militants-use-HIV-to-fight-UK-troops-in-Afghanistan/articleshow/6030024.cms",2010,6
"HIV+ woman claims hosp denied her treatment","http://timesofindia.indiatimes.com//city/mumbai/HIV-woman-claims-hosp-denied-her-treatment/articleshow/6052362.cms",2010,6
"Antiretrovirals prevent HIV transmission","http://timesofindia.indiatimes.com//life-style/health-fitness/health-news/Antiretrovirals-prevent-HIV-transmission/articleshow/6058485.cms",2010,6
"NGO opens therapy centre for HIV patients","http://timesofindia.indiatimes.com//city/mysuru/NGO-opens-therapy-centre-for-HIV-patients/articleshow/6116159.cms",2010,7
"A hug for AIDS awareness","http://timesofindia.indiatimes.com//city/chennai/A-hug-for-AIDS-awareness/articleshow/6121879.cms",2010,7
"Cells that fight HIV created","http://timesofindia.indiatimes.com//home/science/Cells-that-fight-HIV-created/articleshow/6128783.cms",2010,7
"AIDS lessons for councillors: AIDS Control","http://timesofindia.indiatimes.com//city/chandigarh/AIDS-lessons-for-councillors-AIDS-Control/articleshow/6128987.cms",2010,7
"HIV+ sex worker trapped sans medical aid","http://timesofindia.indiatimes.com//city/bengaluru/HIV-sex-worker-trapped-sans-medical-aid/articleshow/6129217.cms",2010,7
"56 kids get HIV, hepatitis after blood transfusion","http://timesofindia.indiatimes.com//india/56-kids-get-HIV-hepatitis-after-blood-transfusion/articleshow/6160375.cms",2010,7
"56 kids get HIV, hepatitis after blood transfusion","http://timesofindia.indiatimes.com//city/jaipur/56-kids-get-HIV-hepatitis-after-blood-transfusion/articleshow/6161119.cms",2010,7
"4 HIV +ve patients face eviction from their home","http://timesofindia.indiatimes.com//city/hyderabad/4-HIV-ve-patients-face-eviction-from-their-home/articleshow/6161180.cms",2010,7
"HIV+ status drives woman to end life","http://timesofindia.indiatimes.com//city/goa/HIV-status-drives-woman-to-end-life/articleshow/6161235.cms",2010,7
"HIV+ woman commits suicide on being told of infection","http://timesofindia.indiatimes.com//city/goa/HIV-woman-commits-suicide-on-being-told-of-infection/articleshow/6167786.cms",2010,7
"Cops 'take care' of accused afflicted with AIDS","http://timesofindia.indiatimes.com//city/ludhiana/Cops-take-care-of-accused-afflicted-with-AIDS/articleshow/6173457.cms",2010,7
"Aids train open for viewing","http://timesofindia.indiatimes.com//city/patna/Aids-train-open-for-viewing/articleshow/6174713.cms",2010,7
"11 HIV cases detected among TB patients","http://timesofindia.indiatimes.com//city/ludhiana/11-HIV-cases-detected-among-TB-patients/articleshow/6184221.cms",2010,7
"New blood test helps identify HIV status of newborns","http://timesofindia.indiatimes.com//india/New-blood-test-helps-identify-HIV-status-of-newborns/articleshow/6184468.cms",2010,7
"48% spurt in number of HIV patients receiving life-saving ART","http://timesofindia.indiatimes.com//india/48-spurt-in-number-of-HIV-patients-receiving-life-saving-ART/articleshow/6188292.cms",2010,7
"Vaginal gel offers protection against HIV infection","http://timesofindia.indiatimes.com//india/Vaginal-gel-offers-protection-against-HIV-infection/articleshow/6192816.cms",2010,7
"Chennai scientists prepare for Round 2 of tests on India's only AIDS vaccine","http://timesofindia.indiatimes.com//city/chennai/Chennai-scientists-prepare-for-Round-2-of-tests-on-Indias-only-AIDS-vaccine/articleshow/6198189.cms",2010,7
"Matrimonial meet for HIV+ people on Aug 1","http://timesofindia.indiatimes.com//city/pune/Matrimonial-meet-for-HIV-people-on-Aug-1/articleshow/6229881.cms",2010,7
"A reel call on AIDS awareness","http://timesofindia.indiatimes.com//city/chennai/A-reel-call-on-AIDS-awareness/articleshow/6234602.cms",2010,7
"HIV stigma gets a comic relief","http://timesofindia.indiatimes.com//city/lucknow/HIV-stigma-gets-a-comic-relief/articleshow/6239040.cms",2010,7
"Belgaum NGO makes match of 'HIV positives'","http://timesofindia.indiatimes.com//city/hubballi/Belgaum-NGO-makes-match-of-HIV-positives/articleshow/6241832.cms",2010,7
"HIV widow, children forced to flee home","http://timesofindia.indiatimes.com//india/HIV-widow-children-forced-to-flee-home/articleshow/6249836.cms",2010,8
"City highest in HIV among high risk group","http://timesofindia.indiatimes.com//city/chandigarh/City-highest-in-HIV-among-high-risk-group/articleshow/6250080.cms",2010,8
"HIV: Housewives, professionals at high risk now","http://timesofindia.indiatimes.com//city/chennai/HIV-Housewives-professionals-at-high-risk-now/articleshow/6263505.cms",2010,8
"'2% of pregnant women in Karnataka are HIV positive'","http://timesofindia.indiatimes.com//city/bengaluru/2-of-pregnant-women-in-Karnataka-are-HIV-positive/articleshow/6268715.cms",2010,8
"Oral substitution therapy to curb HIV spread","http://timesofindia.indiatimes.com//city/ludhiana/Oral-substitution-therapy-to-curb-HIV-spread/articleshow/6288907.cms",2010,8
"In 7 months, over 2K HIV+ cases detected in district","http://timesofindia.indiatimes.com//city/nagpur/In-7-months-over-2K-HIV-cases-detected-in-district/articleshow/6290882.cms",2010,8
"200 HIV positive babies are born in Mizoram","http://timesofindia.indiatimes.com//india/200-HIV-positive-babies-are-born-in-Mizoram/articleshow/6300025.cms",2010,8
"500 city students to rally against HIV","http://timesofindia.indiatimes.com//city/pune/500-city-students-to-rally-against-HIV/articleshow/6300305.cms",2010,8
"'Ayurveda hope for HIV+ patients'","http://timesofindia.indiatimes.com//city/mumbai/Ayurveda-hope-for-HIV-patients/articleshow/6301955.cms",2010,8
"HIV victims positively unwelcome","http://timesofindia.indiatimes.com//india/HIV-victims-positively-unwelcome/articleshow/6310200.cms",2010,8
"Singer admits not telling sex partners she's HIV+","http://timesofindia.indiatimes.com//world/europe/Singer-admits-not-telling-sex-partners-shes-HIV/articleshow/6321890.cms",2010,8
"HIV+ woman triumphs, goes back to work","http://timesofindia.indiatimes.com//city/pune/HIV-woman-triumphs-goes-back-to-work/articleshow/6333049.cms",2010,8
"HIV in semen different from virus in blood","http://timesofindia.indiatimes.com//home/science/HIV-in-semen-different-from-virus-in-blood/articleshow/6384335.cms",2010,8
"These HIV+ are taught to be positive","http://timesofindia.indiatimes.com//city/bengaluru/These-HIV-are-taught-to-be-positive/articleshow/6396992.cms",2010,8
"Need tailormade counselling for HIV+","http://timesofindia.indiatimes.com//city/chennai/Need-tailormade-counselling-for-HIV/articleshow/6398055.cms",2010,8
"KGH cold-shoulders HIV +ve woman, child","http://timesofindia.indiatimes.com//city/hyderabad/KGH-cold-shoulders-HIV-ve-woman-child/articleshow/6423907.cms",2010,8
"HIV patients let down by ART centre","http://timesofindia.indiatimes.com//city/hubballi/HIV-patients-let-down-by-ART-centre/articleshow/6428616.cms",2010,8
"HIV+ suspect 4-yr-old girl sent out of school","http://timesofindia.indiatimes.com//city/hyderabad/HIV-suspect-4-yr-old-girl-sent-out-of-school/articleshow/6425573.cms",2010,8
"HIV positive woman dies","http://timesofindia.indiatimes.com//city/bengaluru/HIV-positive-woman-dies/articleshow/6428761.cms",2010,8
"AIDS society to hold play on plight of HIV+ victims","http://timesofindia.indiatimes.com//city/allahabad/AIDS-society-to-hold-play-on-plight-of-HIV-victims/articleshow/6441375.cms",2010,8
"Comics by AIDS affected","http://timesofindia.indiatimes.com//city/allahabad/Comics-by-AIDS-affected/articleshow/6447637.cms",2010,8
"Now, KPO workers at increased risk of AIDS: Survey","http://timesofindia.indiatimes.com//city/mangaluru/Now-KPO-workers-at-increased-risk-of-AIDS-Survey/articleshow/6476540.cms",2010,9
"Keep HIV+ students away, demand parents","http://timesofindia.indiatimes.com//city/bengaluru/Keep-HIV-students-away-demand-parents/articleshow/6477524.cms",2010,9
"Segregation of HIV+ students","http://timesofindia.indiatimes.com//city/hubballi/Segregation-of-HIV-students/articleshow/6481961.cms",2010,9
"Ujwala project director opposes bias towards HIV+ students","http://timesofindia.indiatimes.com//city/hubballi/Ujwala-project-director-opposes-bias-towards-HIV-students/articleshow/6487870.cms",2010,9
"Naco team in city to review facilities for Aids patients","http://timesofindia.indiatimes.com//city/mumbai/Naco-team-in-city-to-review-facilities-for-Aids-patients/articleshow/6488587.cms",2010,9
"Naco's new AIDS strategy to focus on would-be migrants","http://timesofindia.indiatimes.com//india/Nacos-new-AIDS-strategy-to-focus-on-would-be-migrants/articleshow/6526565.cms",2010,9
"India sends 80% of AIDS drugs to poor nations","http://timesofindia.indiatimes.com//india/India-sends-80-of-AIDS-drugs-to-poor-nations/articleshow/6562674.cms",2010,9
"AIDS budget focus on prevention: Naco","http://timesofindia.indiatimes.com//india/AIDS-budget-focus-on-prevention-Naco/articleshow/6567442.cms",2010,9
"Can HIV positive parents have a healthy baby?","http://timesofindia.indiatimes.com//city/varanasi/Can-HIV-positive-parents-have-a-healthy-baby/articleshow/6580994.cms",2010,9
"BHU ART centre helping HIV patients in a major way","http://timesofindia.indiatimes.com//city/varanasi/BHU-ART-centre-helping-HIV-patients-in-a-major-way/articleshow/6580993.cms",2010,9
"Faiths take on common foe - HIV","http://timesofindia.indiatimes.com//city/bengaluru/Faiths-take-on-common-foe-HIV/articleshow/6648665.cms",2010,9
"2.6L HIV patients have no access to treatment","http://timesofindia.indiatimes.com//india/2-6L-HIV-patients-have-no-access-to-treatment/articleshow/6655336.cms",2010,9
"HIV numbers rise behind bars","http://timesofindia.indiatimes.com//city/hyderabad/HIV-numbers-rise-behind-bars/articleshow/6661393.cms",2010,10
"Kolkata: Woman prevented from cremating HIV+ hubby","http://timesofindia.indiatimes.com//city/kolkata/Kolkata-Woman-prevented-from-cremating-HIV-hubby/articleshow/6686980.cms",2010,10
"International Conference on alcohol &HIV","http://timesofindia.indiatimes.com//entertainment/events/delhi/International-Conference-on-alcohol-HIV/articleshow/6713295.cms",2010,10
"HIV +ve mothers to get free milk powder for child","http://timesofindia.indiatimes.com//city/chandigarh/HIV-ve-mothers-to-get-free-milk-powder-for-child/articleshow/6726315.cms",2010,10
"Hope rekindles for kids with HIV","http://timesofindia.indiatimes.com//city/chandigarh/Hope-rekindles-for-kids-with-HIV/articleshow/6844510.cms",2010,10
"HIV +ve cases rising alarmingly in Chanda","http://timesofindia.indiatimes.com//city/nagpur/HIV-ve-cases-rising-alarmingly-in-Chanda/articleshow/6860006.cms",2010,11
"HIV in blood different than in semen","http://timesofindia.indiatimes.com//life-style/health-fitness/health-news/HIV-in-blood-different-than-in-semen/articleshow/6373931.cms",2010,11
"HIV in blood different than in semen","http://timesofindia.indiatimes.com//life-style/health-fitness/health-news/HIV-in-blood-different-than-in-semen/articleshow/6373931.cms",2010,11
"All HIV patients to get second-line treatment free","http://timesofindia.indiatimes.com//india/All-HIV-patients-to-get-second-line-treatment-free/articleshow/6915022.cms",2010,11
"Fight against HIV virus to don green hues","http://timesofindia.indiatimes.com//city/chandigarh/Fight-against-HIV-virus-to-don-green-hues/articleshow/6967143.cms",2010,11
"HIV+ mothers give birth to healthy kids at AIIMS","http://timesofindia.indiatimes.com//city/delhi/HIV-mothers-give-birth-to-healthy-kids-at-AIIMS/articleshow/6972457.cms",2010,11
"'Only 3 lakh HIV+ patients have access to life-saving drug'","http://timesofindia.indiatimes.com//india/Only-3-lakh-HIV-patients-have-access-to-life-saving-drug/articleshow/6979246.cms",2010,11
"Pill lowers HIV infection rate by 44%, shows study","http://timesofindia.indiatimes.com//india/Pill-lowers-HIV-infection-rate-by-44-shows-study/articleshow/6977483.cms",2010,11
"HIV+ numbers in city see negative growth","http://timesofindia.indiatimes.com//city/mumbai/HIV-numbers-in-city-see-negative-growth/articleshow/6991747.cms",2010,11
"MEA lifts all travel curbs against HIV+","http://timesofindia.indiatimes.com//india/MEA-lifts-all-travel-curbs-against-HIV/articleshow/6996878.cms",2010,11
"Don't discriminate against �private� HIV+ on treatment, SC tells govt","http://timesofindia.indiatimes.com//india/Dont-discriminate-against-private-HIV-on-treatment-SC-tells-govt/articleshow/6996453.cms",2010,11
"HIV+ is not the end, says happy and fit 'Mr India'","http://timesofindia.indiatimes.com//city/goa/HIV-is-not-the-end-says-happy-and-fit-Mr-India/articleshow/6984424.cms",2010,11
"There are 60 HIV+ kids in Varanasi","http://timesofindia.indiatimes.com//city/varanasi/There-are-60-HIV-kids-in-Varanasi/articleshow/7006403.cms",2010,11
"AIDS continues its march, despite govt efforts","http://timesofindia.indiatimes.com//city/nagpur/AIDS-continues-its-march-despite-govt-efforts/articleshow/7012055.cms",2010,11
"Maharashtra makes good progress in dealing with HIV","http://timesofindia.indiatimes.com//city/pune/Maharashtra-makes-good-progress-in-dealing-with-HIV/articleshow/7014649.cms",2010,11
"DK dist shows decline in HIV cases","http://timesofindia.indiatimes.com//city/mangaluru/DK-dist-shows-decline-in-HIV-cases/articleshow/7018072.cms",2010,11
"HIV+ persons deserve a dignified life","http://timesofindia.indiatimes.com//city/allahabad/HIV-persons-deserve-a-dignified-life/articleshow/7018407.cms",2010,11
"Idli shop helps HIV+ women live positively","http://timesofindia.indiatimes.com//city/chennai/Idli-shop-helps-HIV-women-live-positively/articleshow/7018829.cms",2010,12
"New treatment to stop HIV+ mom-to-child transmission","http://timesofindia.indiatimes.com//home/science/New-treatment-to-stop-HIV-mom-to-child-transmission/articleshow/7019000.cms",2010,12
"Targeted HIV solutions for transgenders, homosexuals","http://timesofindia.indiatimes.com//home/science/Targeted-HIV-solutions-for-transgenders-homosexuals/articleshow/7019006.cms",2010,12
"'Cheap drugs key to fighting AIDS'","http://timesofindia.indiatimes.com//home/science/Cheap-drugs-key-to-fighting-AIDS/articleshow/7019010.cms",2010,12
"With 120 HIV infected inmates, Yerawada tops prisons in state","http://timesofindia.indiatimes.com//city/pune/With-120-HIV-infected-inmates-Yerawada-tops-prisons-in-state/articleshow/7018386.cms",2010,12
"4,478 AIDS patients in Maha have abandoned treatment","http://timesofindia.indiatimes.com//city/pune/4478-AIDS-patients-in-Maha-have-abandoned-treatment/articleshow/7018391.cms",2010,12
"HIV+ status no ground for disability pension: AFT","http://timesofindia.indiatimes.com//city/chandigarh/HIV-status-no-ground-for-disability-pension-AFT/articleshow/7019085.cms",2010,12
"Better care for newborns, mothers with HIV demanded","http://timesofindia.indiatimes.com//city/pune/Better-care-for-newborns-mothers-with-HIV-demanded/articleshow/7018363.cms",2010,12
"City sends message of safety on AIDS day","http://timesofindia.indiatimes.com//city/ludhiana/City-sends-message-of-safety-on-AIDS-day/articleshow/7025938.cms",2010,12
"Gift of love: Flight to dreamland for 42 HIV+ Kids","http://timesofindia.indiatimes.com//city/kolkata/Gift-of-love-Flight-to-dreamland-for-42-HIV-Kids/articleshow/7025966.cms",2010,12
"HIV couple who met at matrimonial meet ties knot","http://timesofindia.indiatimes.com//city/pune/HIV-couple-who-met-at-matrimonial-meet-ties-knot/articleshow/7026071.cms",2010,12
"Awareness camps mark AIDS Day","http://timesofindia.indiatimes.com//city/patna/Awareness-camps-mark-AIDS-Day/articleshow/7026297.cms",2010,12
"AIDS still a serious health problem: WHO","http://timesofindia.indiatimes.com//life-style/health-fitness/health-news/AIDS-still-a-serious-health-problem-WHO/articleshow/7027678.cms",2010,12
"Corruption threatens to cripple state's war on HIV","http://timesofindia.indiatimes.com//city/mumbai/Corruption-threatens-to-cripple-states-war-on-HIV/articleshow/7030715.cms",2010,12
"Bruni, Gohil to join hands, fight AIDS","http://timesofindia.indiatimes.com//city/vadodara/Bruni-Gohil-to-join-hands-fight-AIDS/articleshow/7039632.cms",2010,12
"Low awareness of drug-associated HIV transmission among children of sex workers","http://timesofindia.indiatimes.com//city/pune/Low-awareness-of-drug-associated-HIV-transmission-among-children-of-sex-workers/articleshow/7050105.cms",2010,12
"Bruni kisses Aids fear away","http://timesofindia.indiatimes.com//city/delhi/Bruni-kisses-Aids-fear-away/articleshow/7056898.cms",2010,12
"Authorities take stock of AIDS control mechanism","http://timesofindia.indiatimes.com//city/allahabad/Authorities-take-stock-of-AIDS-control-mechanism/articleshow/7067852.cms",2010,12
"HIV stats fudged, claims NGO","http://timesofindia.indiatimes.com//city/kolkata/HIV-stats-fudged-claims-NGO/articleshow/7073822.cms",2010,12
"SC forces govt to agree to second-line ART to all AIDS patients","http://timesofindia.indiatimes.com//india/SC-forces-govt-to-agree-to-second-line-ART-to-all-AIDS-patients/articleshow/7078375.cms",2010,12
"Aids patients on ART to get pension from state-run centres","http://timesofindia.indiatimes.com//city/hyderabad/Aids-patients-on-ART-to-get-pension-from-state-run-centres/articleshow/7089618.cms",2010,12
"Examine mouth for early signs of AIDS","http://timesofindia.indiatimes.com//india/Examine-mouth-for-early-signs-of-AIDS/articleshow/7090282.cms",2010,12
"HC to govt: Reserve one bed for HIV+","http://timesofindia.indiatimes.com//city/delhi/HC-to-govt-Reserve-one-bed-for-HIV/articleshow/7096054.cms",2010,12
"AIDS cure? Cancer treatment works miracle","http://timesofindia.indiatimes.com//home/science/AIDS-cure-Cancer-treatment-works-miracle/articleshow/7109468.cms",2010,12
"Govt to extend free HIV care without exceptions","http://timesofindia.indiatimes.com//india/Govt-to-extend-free-HIV-care-without-exceptions/articleshow/7115077.cms",2010,12
"HIV positive kids shunned, alleges NGO","http://timesofindia.indiatimes.com//city/delhi/HIV-positive-kids-shunned-alleges-NGO/articleshow/7148424.cms",2010,12
"School may face action for HIV discrimination","http://timesofindia.indiatimes.com//city/gurgaon/School-may-face-action-for-HIV-discrimination/articleshow/7153650.cms",2010,12
"Merry X'Mas for HIV+ kids","http://timesofindia.indiatimes.com//city/jaipur/Merry-XMas-for-HIV-kids/articleshow/7165233.cms",2010,12
"Health education plays a major role in checking HIV: Study","http://timesofindia.indiatimes.com//city/chandigarh/Health-education-plays-a-major-role-in-checking-HIV-Study/articleshow/7187484.cms",2010,12
"TN first state to develop HIV stigma index","http://timesofindia.indiatimes.com//city/chennai/TN-first-state-to-develop-HIV-stigma-index/articleshow/7256484.cms",2011,1
"New drug regime leaves HIV people dizzy","http://timesofindia.indiatimes.com//city/chennai/New-drug-regime-leaves-HIV-people-dizzy/articleshow/7256503.cms",2011,1
"'Make HIV test a must before marriage'","http://timesofindia.indiatimes.com//city/thiruvananthapuram/Make-HIV-test-a-must-before-marriage/articleshow/7256727.cms",2011,1
"Tamil Nadu first state to develop HIV stigma index","http://timesofindia.indiatimes.com//india/Tamil-Nadu-first-state-to-develop-HIV-stigma-index/articleshow/7256917.cms",2011,1
"HIV+ student denied hostel","http://timesofindia.indiatimes.com//city/chennai/HIV-student-denied-hostel/articleshow/7264927.cms",2011,1
"Alarming rise in HIV+ cases in state","http://timesofindia.indiatimes.com//city/ranchi/Alarming-rise-in-HIV-cases-in-state/articleshow/7271874.cms",2011,1
"AIDS drug patents by Abbot, BMS rejected","http://timesofindia.indiatimes.com//business/india-business/AIDS-drug-patents-by-Abbot-BMS-rejected/articleshow/7273406.cms",2011,1
"Living with HIV, running against stigma","http://timesofindia.indiatimes.com//city/mumbai/Living-with-HIV-running-against-stigma/articleshow/7288405.cms",2011,1
"Mob tries to burn HIV+ couple, 4 kids","http://timesofindia.indiatimes.com//india/Mob-tries-to-burn-HIV-couple-4-kids/articleshow/7300548.cms",2011,1
"Undertrial at Sada sub-jail dies of HIV complications","http://timesofindia.indiatimes.com//city/goa/Undertrial-at-Sada-sub-jail-dies-of-HIV-complications/articleshow/7300555.cms",2011,1
"AIDS screening non-existent in many rural areas","http://timesofindia.indiatimes.com//city/pune/AIDS-screening-non-existent-in-many-rural-areas/articleshow/7307847.cms",2011,1
"Red Ribbon buses to spread HIV awareness in backward districts","http://timesofindia.indiatimes.com//india/Red-Ribbon-buses-to-spread-HIV-awareness-in-backward-districts/articleshow/7313589.cms",2011,1
"Govt AIDs awareness drive to reach villages","http://timesofindia.indiatimes.com//city/ahmedabad/Govt-AIDs-awareness-drive-to-reach-villages/articleshow/7316244.cms",2011,1
"Health secretary directs release of HIV undertrial's body","http://timesofindia.indiatimes.com//city/goa/Health-secretary-directs-release-of-HIV-undertrials-body/articleshow/7330499.cms",2011,1
"Dead HIV undertrial's kin meet top Goa official to claim body","http://timesofindia.indiatimes.com//city/goa/Dead-HIV-undertrials-kin-meet-top-Goa-official-to-claim-body/articleshow/7334277.cms",2011,1
"Heart attacks in HIV discussed","http://timesofindia.indiatimes.com//city/kanpur/Heart-attacks-in-HIV-discussed/articleshow/7348321.cms",2011,1
"Meet to review current evidence in HIV mgmt","http://timesofindia.indiatimes.com//city/pune/Meet-to-review-current-evidence-in-HIV-mgmt/articleshow/7356520.cms",2011,1
"New method found effective in diagnosing HIV in children","http://timesofindia.indiatimes.com//city/pune/New-method-found-effective-in-diagnosing-HIV-in-children/articleshow/7376267.cms",2011,1
"ART for HIV will begin at higher CD4 count soon","http://timesofindia.indiatimes.com//city/pune/ART-for-HIV-will-begin-at-higher-CD4-count-soon/articleshow/7376275.cms",2011,1
"AIDS awareness opt folk mode","http://timesofindia.indiatimes.com//city/allahabad/AIDS-awareness-opt-folk-mode/articleshow/7380231.cms",2011,1
"8-yr-old fights losing battle against Aids","http://timesofindia.indiatimes.com//city/nagpur/8-yr-old-fights-losing-battle-against-Aids/articleshow/7387402.cms",2011,1
"1,004th HIV +ve woman gives birth at JJ","http://timesofindia.indiatimes.com//city/mumbai/1004th-HIV-ve-woman-gives-birth-at-JJ/articleshow/7401226.cms",2011,2
"`Media plays crucial role in curbing spread of HIV'","http://timesofindia.indiatimes.com//city/mysuru/Media-plays-crucial-role-in-curbing-spread-of-HIV/articleshow/7407050.cms",2011,2
"HIV+ may get medical insurance soon","http://timesofindia.indiatimes.com//india/HIV-may-get-medical-insurance-soon/articleshow/7406401.cms",2011,2
"6.88% HIV positive in Holy City","http://timesofindia.indiatimes.com//india/6-88-HIV-positive-in-Holy-City/articleshow/7408089.cms",2011,2
